Image,ROI,Area,Mean
DII-V_arpc4_1_plant1_1_Z-Stack,1,51.886,110.458
,2,58.792,115.789
,3,30.619,91.927
,4,66.444,102.927
,5,62.978,102.541
,6,56.242,96.284
,7,51.742,107.190
,8,71.074,107.796
,9,70.080,119.986
,10,64.652,108.205
,11,64.952,119.038
DII-V_arpc4_1_plant1_2_Z-Stack,1,62.284,97.158
,2,52.540,84.385
,3,65.620,85.668
,4,63.828,98.022
,5,58.530,91.731
,6,57.890,127.106
,7,55.614,83.973
,8,65.423,88.791
,9,91.687,111.854
,10,57.929,91.036
,11,62.062,104.535
,12,73.402,97.336
DII-V_arpc4_1_plant2_1_Z-Stack,1,67.254,229.097
,2,48.145,133.422
,3,56.425,179.417
,4,56.791,167.913
,5,49.571,176.546
,6,61.486,144.509
,7,55.810,181.517
,8,52.932,182.194
,9,48.172,144.794
,10,49.977,136.568
,11,55.862,177.274
,12,73.088,191.906
,13,80.569,142.427
,14,52.265,143.070
,15,95.558,182.864
,16,81.393,162.323
,17,64.861,144.984
DII-V_arpc4_1_plant2_2_Z-Stack,1,58.047,184.267
,2,62.049,125.788
,3,64.285,141.368
,4,50.317,121.518
,5,63.893,117.855
,6,65.489,140.710
,7,53.822,125.329
,8,75.050,141.372
,9,64.900,135.059
,10,47.269,130.620
,11,64.560,138.425
,12,86.691,135.641
,13,54.999,131.352
,14,58.033,145.996
DII-V_arpc4_1_plant4_1_Z-Stack,1,57.157,149.831
,2,60.335,108.997
,3,55.156,117.991
,4,41.056,94.812
,5,43.280,109.568
,6,77.744,170.506
,7,51.742,122.135
,8,56.987,91.015
,9,40.088,102.386
,10,74.265,129.534
,11,53.220,108.307
DII-V_arpc4_1_plant4_2_Z-Stack,1,55.431,98.601
,2,65.018,98.598
,3,49.074,120.796
,4,78.542,88.857
,5,70.629,106.826
,6,61.840,85.412
,7,38.885,97.035
,8,54.214,89.964
,9,75.808,78.752
,10,79.824,100.954
,11,82.793,89.045
,12,86.455,89.699
DII-V_arpc4_1_plant5_1_Z-Stack,1,40.586,140.719
,2,49.950,169.931
,3,61.068,158.112
,4,55.745,144.932
,5,45.255,179.997
,6,51.952,136.228
,7,44.941,155.123
,8,69.007,160.594
,9,58.805,168.292
,10,66.221,154.811
,11,76.135,183.984
,12,73.179,172.836
,13,67.961,140.297
,14,83.538,161.716
,15,52.161,153.959
,16,79.837,174.536
,17,75.822,158.443
,18,65.620,136.000
,19,86.390,155.559
DII-V_arpc4_1_plant5_2_Z-Stack,1,67.333,146.034
,2,43.698,166.025
,3,47.151,151.972
,4,65.319,127.827
,5,37.904,121.178
,6,64.482,143.397
,7,43.764,111.337
,8,38.087,115.794
,9,32.071,130.577
,10,59.381,131.656
,11,32.175,118.211
,12,40.115,126.185
,13,46.837,107.848
,14,50.356,116.463
,15,39.016,111.017
,16,57.916,142.163
,17,70.237,158.796
,18,76.397,139.381
,19,70.093,112.594
DII-V_arpc4_1_plant6_1_Z-Stack,1,41.488,122.695
,2,61.813,212.444
,3,52.946,147.817
,4,51.245,150.984
,5,54.018,126.155
,6,40.546,129.572
,7,39.369,136.894
,8,62.807,142.061
,9,50.931,110.040
,10,65.162,124.663
,11,66.274,125.335
,12,63.174,121.188
DII-V_arpc4_1_plant6_2_Z-Stack,1,46.314,103.301
,2,47.321,90.139
,3,49.022,93.670
,4,71.649,110.564
,5,41.540,93.409
,6,51.795,88.112
,7,42.744,85.691
,8,60.296,107.215
,9,59.341,108.275
,10,56.281,84.252
,11,58.962,77.088
,12,67.490,109.399
,13,86.128,82.433
DII-V_arpc4_1_plant7_1_Z-Stack,1,37.943,95.778
,2,42.861,95.096
,3,60.571,108.735
,4,61.761,101.144
,5,36.832,96.572
,6,48.669,100.278
,7,59.093,109.889
,8,33.876,88.542
,9,53.887,99.897
,10,76.632,106.077
,11,59.865,111.016
,12,49.937,92.330
,13,60.532,95.892
,14,64.063,95.328
,15,59.354,99.770
,16,61.670,92.875
,17,60.597,89.082
DII-V_arpc4_1_plant7_2_Z-Stack,1,45.320,99.226
,2,37.630,86.108
,3,44.810,82.759
,4,61.709,98.424
,5,46.641,93.065
,6,46.510,85.984
,7,42.220,88.579
,8,46.707,83.016
,9,54.319,89.213
,10,49.676,94.095
,11,56.412,86.721
,12,55.431,88.995
,13,54.881,94.571
,14,66.012,84.438
,15,44.941,95.476
DII-V_arpc4_1_plant8_1_Z-Stack,1,61.696,123.098
,2,64.089,109.177
,3,53.940,130.973
,4,59.381,136.674
,5,47.805,120.298
,6,45.294,114.499
,7,55.248,142.054
,8,57.510,121.073
,9,59.721,123.302
,10,58.478,140.451
,11,67.869,142.908
,12,53.613,127.752
,13,55.640,159.379
,14,66.744,154.306
,15,66.339,126.278
DII-V_arpc4_1_plant8_2_Z-Stack,1,41.200,145.406
,2,45.085,151.393
,3,52.161,95.567
,4,46.340,125.729
,5,37.721,130.040
,6,76.214,149.767
,7,35.014,103.833
,8,54.633,143.521
,9,57.523,172.289
,10,66.470,121.194
,11,77.823,122.897
,12,53.835,130.684
,13,76.986,111.049
